"munic";"maes_chefes_91";"maes_chefes_00";"maes_chefes_10";"mortalidade_91";"mortalidade_00";"mortalidade_10";"uf"
"Apicum-Açu ";8,08;26,23;43,73;86,3;57,19;35,8;"MA"
"Apiúna ";28,83;8,01;13,37;31,66;28,5;14,1;"SC"
"Apodi ";12,06;12;11,04;69,12;38,85;27,3;"RN"
"Aporá ";14,91;18,23;41,63;60,86;44,35;27,3;"BA"
"Aporé ";12,07;9,58;13,94;30,42;21;14;"GO"
"Apuarema ";23,62;20,37;29,82;62,2;45,93;30,3;"BA"
"Apucarana ";10,45;11,07;13,38;30,82;20,4;12,56;"PR"
"Apuí ";26,74;15,43;28,68;53,88;43,95;21,9;"AM"
"Apuiarés ";5,13;13,99;33,03;88,96;52,53;28,2;"CE"
"Aquidabã ";17,72;26,68;33,32;74,01;54,16;28,1;"SE"
"Aquidauana ";9,79;13,09;15,43;34,1;27,04;17,1;"MS"
"Aquiraz ";14,27;19,38;26,51;67,72;41,94;20,2;"CE"
"Arabutã ";6,04;3,93;21,89;26,37;24,3;11,2;"SC"
"Araçagi ";13,16;19,2;15,48;94,09;50,09;28,3;"PB"
"Araçaí ";20,46;5,55;26,24;36;31,17;18,1;"MG"
"Aracaju ";17,34;16,8;15,78;48,56;38,95;15,61;"SE"
"Araçariguama ";11,02;10,94;21,9;35,96;22,9;16,6;"SP"
"Araças ";32,04;34,42;36,33;100,04;53,37;28,5;"BA"
"Aracati ";13,07;23,38;20,59;71,33;44,32;27,9;"CE"
"Aracatu ";6,52;5,27;25,26;57,53;43,41;26,6;"BA"
"Araçatuba ";9,82;8,96;9,9;28,2;18,3;15,28;"SP"
"Araci ";20,09;30,9;53,08;87,12;56,49;28;"BA"
"Aracitaba ";12,63;3,95;13,96;38,81;27,05;16,3;"MG"
"Aracoiaba ";11,2;18,01;30,28;84,1;60,34;24,8;"CE"
"Araçoiaba da Serra ";9,68;13,24;12,5;27,4;17,6;12,4;"SP"
"Araçoiaba ";21,84;25,24;22,22;55,91;51,32;24,4;"PE"
"Aracruz ";14,54;19,94;15,6;38,17;25,83;13,7;"ES"
"Araçuaí ";17,27;19,6;28,11;41,19;33,72;16,5;"MG"
"Araçu ";9,48;3,29;8,07;26,67;23,1;12,8;"GO"
"Aragarças ";20,45;14,11;12,75;31,09;25;13,4;"GO"
"Aragoiânia ";6,27;8,23;21,76;29,63;27,1;12,9;"GO"
"Aragominas ";12,65;12,43;9,13;58,16;43,57;28,5;"TO"
"Araguacema ";18,86;17,99;22,07;52,39;40,03;17,8;"TO"
"Araguaçu ";14,39;14,99;9,94;66,94;43,81;19;"TO"
"Araguaiana ";19,36;16,99;5,7;29,16;27,41;17;"MT"
"Araguaína ";15,91;16,45;10,77;47,9;35,38;13,06;"TO"
"Araguainha ";15,57;7,16;6,13;26;24,43;14,4;"MT"
"Araguanã ";8,66;24,37;15,4;100,49;60,31;38,6;"MA"
"Araguanã ";30,09;14,36;21,8;57,04;43,57;25,5;"TO"
"Araguapaz ";19,42;8,09;8,98;29,63;28;14,8;"GO"
"Araguari ";10,47;8,2;9,81;21,9;17,99;11,71;"MG"
"Araguatins ";21,67;19,33;27,94;75,32;46,75;19,6;"TO"
"Araioses ";14,37;17,82;38,39;104,6;60,54;37,9;"MA"
"Aral Moreira ";15,06;23,51;29,64;31,59;26,51;21,7;"MS"
"Aramari ";19,57;24,11;37,03;92,7;48,48;25,5;"BA"
"Arambaré ";7,07;4,3;12,11;31,25;21,5;12,8;"RS"
"Arame ";9,3;15,96;37,36;102,71;60,48;39,6;"MA"
"Aramina ";3,87;7,93;20,28;21,5;19,9;12,8;"SP"
"Arandu ";3,92;15,08;16,5;39,24;23,8;17,4;"SP"
"Arantina ";11,49;15,59;11,52;34,44;27,23;15,2;"MG"
"Arapeí ";20,23;11,18;16,87;37;21,5;16,8;"SP"
"Arapiraca ";16,95;19,73;22,73;80,99;47,4;22;"AL"
"Arapoema ";5,44;18,75;20,16;62,81;41,23;17,1;"TO"
"Araponga ";10,45;14,7;18,16;56,15;45,85;23,1;"MG"
"Arapongas ";10,49;9,39;8,19;32,89;24;13,33;"PR"
"Araporã ";NA;10,38;14,45;26,65;21,8;17,3;"MG"
"Arapoti ";11,66;7,67;22,76;37,74;28;13,5;"PR"
"Arapuá ";11,58;6,25;3,82;25,23;18,86;12,1;"MG"
"Arapuã ";9,63;7,5;10,81;41,32;27,3;13,2;"PR"
"Araputanga ";9,56;14,7;16,9;32,79;30,66;16,1;"MT"
"Araquari ";5,93;23,79;18,42;30,81;24,7;13,8;"SC"
"Araranguá ";9,92;10,48;17,48;23,91;20,3;12;"SC"
"Arara ";15,34;23,3;23,18;102,39;57,48;35;"PB"
"Araraquara ";6,9;7,63;8,28;22,65;16,8;10,23;"SP"
"Araras ";8,49;7,27;9,24;22,86;14,7;11,5;"SP"
"Ararendá ";25,22;11,94;24,37;70,87;40,38;24,3;"CE"
"Araricá ";22,06;10,09;20,38;21,78;20,2;13,6;"RS"
"Arari ";13,69;18,87;31,24;91,72;48,15;26,8;"MA"
"Araripe ";12,64;18,99;28,04;84,01;56,43;24,9;"CE"
"Araripina ";12,34;16,99;29,43;71,47;46,14;21;"PE"
"Araruama ";14,84;16,13;15,75;32,62;20,14;14,18;"RJ"
"Araruna ";14,03;16,3;30,17;94,38;52,88;26;"PB"
"Araruna ";6,56;6,92;7,71;47,36;31,8;18,1;"PR"
"Arataca ";13,57;14,92;51,94;94,69;48,62;26;"BA"
"Aratiba ";4,73;2,21;7,76;19,11;16,6;11,7;"RS"
"Aratuba ";7,44;16,38;22,77;53,57;38,23;22,3;"CE"
"Aratuípe ";17,71;17,19;28,36;87,54;50,02;26,8;"BA"
"Arauá ";23,67;26,36;39,82;77,14;43,84;21,8;"SE"
"Araucária ";8,92;15,05;17,7;29,28;20,4;12,04;"PR"
"Araújos ";13,03;7,68;24,16;30,51;22,19;13,4;"MG"
"Araxá ";12,34;12,12;7,65;31,13;25,07;13,1;"MG"
